City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,84.25,77,58,12.3,TK,1683861778
1,waitangi,-43.9535,-176.5597,49.82,83,48,5.01,NZ,1683861778
2,arraial do cabo,-22.9661,-42.0278,72.84,73,95,10.63,BR,1683861779
3,vorgashor,67.5833,63.95,17.62,89,22,6.15,RU,1683861779
4,bethel,41.3712,-73.414,62.55,69,0,3.44,US,1683861526
5,nema,57.5067,50.5011,47.3,65,1,4.18,RU,1683861779
6,edinburgh of the seven seas,-37.0676,-12.3116,62.73,86,92,27.85,SH,1683861780
7,palu,-0.8917,119.8707,87.28,63,100,1.32,ID,1683861780
8,mucumpiz,8.4167,-71.1333,58.08,92,100,2.1,VE,1683861780
9,puerto natales,-51.7236,-72.4875,45.81,85,98,8.61,CL,1683861780
10,ivdel',60.6911,60.4206,44.74,51,70,3.87,RU,1683861780
11,college,64.8569,-147.8028,62.92,42,75,8.05,US,1683861781
12,invercargill,-46.4,168.35,53.83,80,87,9.17,NZ,1683861781
13,aasiaat,68.7098,-52.8699,25.75,94,100,7.85,GL,1683861781
14,enewetak,11.3474,162.3373,82.13,81,87,15.55,MH,1683861781
15,adamstown,-25.066,-130.1015,71.65,61,100,18.37,PN,1683861781
16,ulanhot,46.0833,122.0833,70.97,34,68,11.25,CN,1683861782
17,utrik,11.2278,169.8474,81.34,79,81,17.25,MH,1683861782
18,blackmans bay,-43.0167,147.3167,61.52,55,66,3.69,AU,1683861782
19,dhidhdhoo,6.8833,73.1,83.77,75,99,5.14,MV,1683861782
20,dalby,-27.1833,151.2667,73.9,37,1,14.36,AU,1683861783
21,sarakhs,36.5449,61.1577,76.03,38,12,5.41,IR,1683861783
22,grytviken,-54.2811,-36.5092,23.85,65,1,3.38,GS,1683861783
23,mount pearl,47.5166,-52.7813,37.45,66,40,19.57,CA,1683861784
24,hermanus,-34.4187,19.2345,48.79,75,92,17.07,ZA,1683861784
25,tralee,52.2704,-9.7026,46.2,96,16,3.4,IE,1683861784
26,mitsamiouli,-11.3847,43.2844,79.7,74,35,6.71,KM,1683861785
27,doaba,33.4244,70.7364,82.38,25,0,1.3,PK,1683861785
28,port-aux-francais,-49.35,70.2167,46.71,91,100,45.25,TF,1683861785
29,puerto deseado,-47.7503,-65.8938,55.45,53,100,20.07,AR,1683861689
30,antofagasta,-23.65,-70.4,58.28,82,18,2.89,CL,1683861601
31,murzuq,25.9155,13.9184,69.19,39,95,9.71,LY,1683861786
32,avarua,-21.2078,-159.775,78.85,78,100,14.97,CK,1683861786
33,papatowai,-46.5619,169.4708,52.34,90,100,9.48,NZ,1683861786
34,stanley,54.868,-1.6985,48.72,94,100,9.22,GB,1683861536
35,yellowknife,62.456,-114.3525,59.52,38,75,4.61,CA,1683861607
36,sarlat-la-caneda,44.889,1.2166,45.95,97,99,2.68,FR,1683861787
37,ribeira grande,38.5167,-28.7,59.77,86,51,5.01,PT,1683861787
38,afaahiti,-17.75,-149.2833,80.47,92,100,24.0,PF,1683861788
39,codrington,-38.2667,141.9667,58.77,60,78,6.46,AU,1683861788
40,hawaiian paradise park,19.5933,-154.9731,75.04,81,100,9.22,US,1683861788
41,thompson,55.7435,-97.8558,51.96,62,20,8.05,CA,1683861788
42,slave lake,55.2834,-114.769,57.18,82,100,3.44,CA,1683861789
43,ugoofaaru,5.6667,73.0,83.26,78,100,11.61,MV,1683861789
44,hafnarfjordur,64.0671,-21.9377,49.87,87,100,14.97,IS,1683861791
45,uturoa,-16.7333,-151.4333,77.7,86,100,12.26,PF,1683861791
46,albany,42.6001,-73.9662,62.78,70,87,1.01,US,1683861791
47,chita,52.0333,113.55,49.89,18,1,6.71,RU,1683861792
48,talnakh,69.4865,88.3972,7.21,82,60,10.85,RU,1683861792
49,iqaluit,63.7506,-68.5145,17.33,93,20,3.44,CA,1683861793
50,margaret river,-33.95,115.0667,62.08,56,87,12.68,AU,1683861793
51,geidam,12.897,11.9304,80.53,17,89,6.35,NG,1683861793
52,camlidere,40.4896,32.475,45.18,92,100,2.24,TR,1683861793
53,kapa'a,22.0752,-159.319,79.12,71,40,13.8,US,1683861596
54,la malbaie,47.6575,-70.1559,55.94,62,69,3.13,CA,1683861794
55,olonkinbyen,70.9221,-8.7187,32.5,90,76,15.1,SJ,1683861794
56,tsiombe,-25.3,45.4833,69.62,79,29,1.05,MG,1683861795
57,cicero dantas,-10.6,-38.3833,69.89,94,66,4.74,BR,1683861795
58,kangding,30.0513,101.9603,46.36,86,98,4.61,CN,1683861795
59,mitu,1.1983,-70.1733,70.3,99,78,0.94,CO,1683861796
60,lompoc,34.6391,-120.4579,57.94,88,40,14.97,US,1683861796
61,ulladulla,-35.35,150.4667,70.77,48,15,7.36,AU,1683861796
62,cidreira,-30.1811,-50.2056,62.64,73,99,10.09,BR,1683861797
63,vadso,70.0744,29.7487,41.88,100,75,10.36,NO,1683861797
64,trenggalek,-8.05,111.7167,83.55,80,89,5.77,ID,1683861797
65,smithers,54.7804,-127.1743,62.92,34,75,5.75,CA,1683861798
66,leh,34.1667,77.5833,38.8,24,44,2.42,IN,1683861798
67,puerto ayora,-0.7393,-90.3518,79.56,96,53,5.01,EC,1683861798
68,ancud,-41.8697,-73.8203,53.96,97,100,6.85,CL,1683861798
69,west island,-12.1568,96.8225,85.98,74,40,12.66,CC,1683861798
70,tura,25.5198,90.2201,89.46,39,62,1.61,IN,1683861647
71,cabo san lucas,22.8909,-109.9124,77.61,49,20,18.41,MX,1683861754
72,tshabong,-26.05,22.45,62.87,35,79,9.13,BW,1683861800
73,saipan,15.1355,145.701,92.1,100,40,10.36,MP,1683861800
74,bilibino,68.0546,166.4372,34.88,94,100,3.4,RU,1683861800
75,longyearbyen,78.2186,15.6401,22.84,80,75,9.22,SJ,1683861801
76,klyuchi,52.2667,79.1667,55.38,51,99,8.43,RU,1683861801
77,dumbea,-22.15,166.45,76.98,99,97,10.71,NC,1683861802
78,ilulissat,69.2167,-51.1,26.62,93,100,13.8,GL,1683861802
79,camana,-16.6228,-72.7111,67.1,82,49,5.32,PE,1683861802
80,vilyuchinsk,52.9306,158.4028,44.87,85,99,2.86,RU,1683861802
81,sabang,5.8933,95.3214,83.77,74,97,3.24,ID,1683861803
82,hanceville,34.0607,-86.7675,70.43,95,100,8.32,US,1683861803
83,itaituba,-4.2761,-55.9836,73.98,99,100,2.15,BR,1683861803
84,umm kaddadah,13.6017,26.6876,86.14,28,84,8.55,SD,1683861804
85,touros,-5.1989,-35.4608,79.93,76,99,8.79,BR,1683861804
86,port mathurin,-19.6833,63.4167,77.94,77,80,22.57,MU,1683861804
87,yauya,-8.9833,-77.3,47.7,90,99,2.37,PE,1683861793
88,khandyga,62.6667,135.6,40.82,64,100,3.87,RU,1683861805
89,kargil,34.5667,76.1,34.43,35,99,1.5,IN,1683861557
90,chonchi,-42.6128,-73.8092,55.11,98,100,2.75,CL,1683861805
91,vilyuysk,63.7553,121.6247,43.84,37,1,5.32,RU,1683861806
92,kingscliff,-28.2667,153.5667,74.73,60,100,12.66,AU,1683861806
93,la tuque,47.4334,-72.7824,55.65,58,100,0.0,CA,1683861807
94,acarau,-2.8856,-40.12,78.03,83,22,5.46,BR,1683861807
95,anadyr,64.75,177.4833,39.7,74,0,5.99,RU,1683861807
96,bredasdorp,-34.5322,20.0403,52.23,82,85,10.13,ZA,1683861807
97,igrim,63.1906,64.4162,41.72,47,82,5.17,RU,1683861808
98,sao jose da coroa grande,-8.8978,-35.1478,76.98,80,41,5.32,BR,1683861553
99,gelnhausen,50.2,9.1833,54.34,92,100,2.89,DE,1683861808
100,coquimbo,-29.9533,-71.3436,56.93,100,100,2.3,CL,1683861808
101,naze,28.3667,129.4833,74.32,62,17,10.07,JP,1683861809
102,udachny,66.4167,112.4,39.45,51,100,15.32,RU,1683861809
103,magistral'nyy,56.1725,107.4458,49.98,33,100,10.87,RU,1683861809
104,arkhangel'sk,64.5401,40.5433,41.07,89,100,3.09,RU,1683861810
105,isangel,-19.55,169.2667,78.91,94,100,2.3,VU,1683861810
106,kingston,17.997,-76.7936,81.55,83,20,11.5,JM,1683861621
107,wittstock,53.1612,12.4829,52.29,79,61,6.46,DE,1683861810
108,portland,45.5234,-122.6762,73.99,48,74,2.04,US,1683861702
109,nyurba,63.2842,118.3319,45.07,42,8,8.25,RU,1683861812
110,berdigestyakh,62.0989,126.6992,39.34,40,100,7.14,RU,1683861812
111,tortoli,39.9256,9.6572,58.82,67,0,21.85,IT,1683861759
112,petropavlovsk-kamchatsky,53.0452,158.6483,43.39,57,75,6.71,RU,1683861813
113,ushuaia,-54.8,-68.3,51.46,54,75,3.44,AR,1683861813
114,hadibu,12.65,54.0333,82.96,73,100,1.77,YE,1683861813
115,tolanaro,-25.0319,46.9987,73.47,94,40,13.8,MG,1683861813
116,pakxan,18.3778,103.6601,77.16,87,100,5.48,LA,1683861814
117,anacapri,40.5558,14.2136,60.13,85,0,3.44,IT,1683861814
118,iskateley,67.6803,53.1512,32.92,99,100,6.73,RU,1683861814
119,tara,56.8944,74.371,40.69,49,6,8.72,RU,1683861814
120,kodiak,57.79,-152.4072,44.11,81,100,17.27,US,1683861815
121,tocache,-8.1842,-76.5125,68.65,99,40,1.05,PE,1683861815
122,lebu,-37.6167,-73.65,54.34,94,100,4.83,CL,1683861815
123,bikenibeu village,1.3673,173.1241,89.56,70,20,9.22,KI,1683861815
124,tazovsky,67.4667,78.7,6.51,93,57,8.68,RU,1683861815
125,podhum,43.7231,17.0011,48.07,93,100,6.55,BA,1683861816
126,wailua homesteads,22.0669,-159.378,77.79,72,40,13.8,US,1683861769
127,lihue,21.9789,-159.3672,78.39,72,40,13.8,US,1683861816
128,mildura,-34.2,142.15,72.07,45,100,0.69,AU,1683861750
129,geraldton,-28.7667,114.6,81.01,29,2,14.97,AU,1683861556
130,mata-utu,-13.2816,-176.1745,83.79,69,62,14.88,WF,1683861817
131,crane,31.3974,-102.3501,77.79,10,1,6.29,US,1683861817
132,mora,11.0461,14.1401,86.05,23,69,1.59,CM,1683861817
133,ghat,24.9647,10.1728,72.63,24,100,6.33,LY,1683861817
134,san luis de la loma,17.2706,-100.8939,81.59,76,89,3.42,MX,1683861818
135,harstad,68.799,16.5293,43.16,99,96,11.99,NO,1683861818
136,kirensk,57.7853,108.1119,48.22,41,100,9.69,RU,1683861818
137,hamilton,39.1834,-84.5333,71.01,81,0,5.75,US,1683861693
138,georgetown,5.4112,100.3354,93.15,70,20,4.61,MY,1683861816
139,port lincoln,-34.7333,135.8667,61.68,57,12,10.74,AU,1683861818
140,qaqortoq,60.7167,-46.0333,34.84,89,100,2.73,GL,1683861819
141,kerikeri,-35.2268,173.9474,62.91,62,15,4.0,NZ,1683861819
142,callao,-12.0667,-77.15,71.89,73,100,11.5,PE,1683861819
143,mhamid,29.82,-5.72,78.57,17,8,6.04,MA,1683861819
144,esperanza,19.5847,-70.9849,77.58,92,6,4.34,DO,1683861820
145,labrador city,52.9463,-66.9114,30.11,80,20,5.75,CA,1683861820
146,namtsy,62.7161,129.6658,40.26,30,100,8.5,RU,1683861820
147,kuala terengganu,5.3302,103.1408,91.35,66,20,4.61,MY,1683861702
148,swakopmund,-22.6833,14.5333,58.05,89,100,5.99,NA,1683861820
149,qingyuan,23.7,113.0333,69.78,74,99,5.14,CN,1683861820
150,kralendijk,12.15,-68.2667,80.58,78,40,13.8,BQ,1683861821
151,horta,38.5333,-28.6333,59.02,86,60,5.01,PT,1683861821
